amir_eranshahrlibrary_source
cat_one,cat_two,path
Human,Full Body,Human/Full Body/41.png
Plant,Tree,Plant/Tree/42.png
Plant,Tree,Plant/Tree/43.png
Plant,Tree,Plant/Tree/44.png
Human,Full Body,Human/Full Body/45.png
Human,Uncategorized,Human/Uncategorized/46.png
Terrain,Rocks,Terrain/Rocks/47.png
Plant,Tree,Plant/Tree/48.png
Human,Uncategorized,Human/Uncategorized/49.png
Plant,Bush,Plant/Bush/50.png
Mythical Creature,Uncategorized,Mythical Creature/Uncategorized/51.png
Human,Accessories,Human/Accessories/52.png
Plant,Bush,Plant/Bush/53.png
Terrain,Rocks,Terrain/Rocks/54.png
Human,Woman,Human/Woman/55.png
Human,Woman,Human/Woman/56.png
Terrain,Rocks,Terrain/Rocks/57.png
Human,Full Body,Human/Full Body/58.png
Human,Uncategorized,Human/Uncategorized/59.png
Animal,Mammal,Animal/Mammal/60.png
Human,Full Body,Human/Full Body/61.png
Uncategorized,Uncategorized,Uncategorized/Uncategorized/62.png
Object,Uncategorized,Object/Uncategorized/63.png
Animal,Uncategorized,Animal/Uncategorized/64.png
Human,Soldier,Human/Soldier/65.png
Animal,Mammal,Animal/Mammal/66.png
Plant,Tree,Plant/Tree/67.png
Architecture,Wall,Architecture/Wall/68.png
Architecture,Dome/Roof,Architecture/Dome/Roof/69.png
Terrain,Fire,Terrain/Fire/70.png
Architecture,Door/Window,Architecture/Door/Window/71.png
Object,Jars,Object/Jars/72.png
Human,Accessories,Human/Accessories/73.png
Object,Instruments,Object/Instruments/74.png
Human,Uncategorized,Human/Uncategorized/75.png
Human,Uncategorized,Human/Uncategorized/76.png
Human,Full Body,Human/Full Body/77.png
Object,Uncategorized,Object/Uncategorized/78.png
Human,Full Body,Human/Full Body/79.png
Uncategorized,Uncategorized,Uncategorized/Uncategorized/80.png
Architecture,Dome/Roof,Architecture/Dome/Roof/81.png
Architecture,Tagh,Architecture/Tagh/82.png
Human,Full Body,Human/Full Body/83.png
Plant,Tree,Plant/Tree/84.png
Human,Uncategorized,Human/Uncategorized/85.png
Human,Uncategorized,Human/Uncategorized/86.png
Human,Full Body,Human/Full Body/87.png
Human,Full Body,Human/Full Body/88.png
Uncategorized,Uncategorized,Uncategorized/Uncategorized/89.png
Human,Uncategorized,Human/Uncategorized/90.png
Human,Full Body,Human/Full Body/91.png
Human,Uncategorized,Human/Uncategorized/92.png
Human,Full Body,Human/Full Body/93.png
Human,Full Body,Human/Full Body/94.png
Object,Uncategorized,Object/Uncategorized/95.png
Terrain,Cloud,Terrain/Cloud/96.png
Object,Decoration,Object/Decoration/97.png
Human,Full Body,Human/Full Body/98.png
Plant,Tree,Plant/Tree/99.png
Object,Fruits,Object/Fruits/100.png
Mythical Creature,Uncategorized,Mythical Creature/Uncategorized/101.png
Human,Uncategorized,Human/Uncategorized/102.png
Plant,Tree,Plant/Tree/103.png
Plant,Tree,Plant/Tree/104.png
Object,Weapons,Object/Weapons/105.png
Architecture,Uncategorized,Architecture/Uncategorized/106.png
Human,Full Body,Human/Full Body/107.png
Uncategorized,Uncategorized,Uncategorized/Uncategorized/108.png
Object,Uncategorized,Object/Uncategorized/109.png
Human,Full Body,Human/Full Body/110.png
Human,Uncategorized,Human/Uncategorized/111.png
Plant,Flower,Plant/Flower/112.png
Plant,Tree,Plant/Tree/113.png
Human,Uncategorized,Human/Uncategorized/114.png
Plant,Tree,Plant/Tree/115.png
Object,Fruits,Object/Fruits/116.png
Object,Fruits,Object/Fruits/117.png
Human,Uncategorized,Human/Uncategorized/118.png
Human,Woman,Human/Woman/119.png
Human,Full Body,Human/Full Body/120.png
Human,Uncategorized,Human/Uncategorized/121.png
Plant,Tree,Plant/Tree/122.png
Plant,Tree,Plant/Tree/123.png
Object,Weapons,Object/Weapons/124.png
Human,Full Body,Human/Full Body/125.png
Object,Weapons,Object/Weapons/126.png
Uncategorized,Uncategorized,Uncategorized/Uncategorized/127.png
Terrain,Cloud,Terrain/Cloud/128.png
Terrain,Cloud,Terrain/Cloud/129.png
Animal,Mammal,Animal/Mammal/130.png
Animal,Mammal,Animal/Mammal/131.png
Plant,Tree,Plant/Tree/133.png
Plant,Tree,Plant/Tree/134.png
Human,Rider,Human/Rider/135.png
Human,Rider,Human/Rider/136.png
Animal,Mammal,Animal/Mammal/139.png
Animal,Mammal,Animal/Mammal/140.png
Architecture,Uncategorized,Architecture/Uncategorized/141.png
Pattern,Uncategorized,Pattern/Uncategorized/142.png
Human,Man,Human/Man/143.png
Architecture,Uncategorized,Architecture/Uncategorized/144.png
Human,Man,Human/Man/145.png
Animal,Mammal,Animal/Mammal/146.png
Animal,Mammal,Animal/Mammal/147.png
Animal,Bird,Animal/Bird/148.png
Mythical Creature,Div,Mythical Creature/Div/149.png
Animal,Bird,Animal/Bird/150.png
Mythical Creature,Div,Mythical Creature/Div/151.png
Mythical Creature,Div,Mythical Creature/Div/152.png
Plant,Flower,Plant/Flower/153.png
Animal,Bird,Animal/Bird/154.png
Mythical Creature,Div,Mythical Creature/Div/155.png
Animal,Mammal,Animal/Mammal/156.png
Mythical Creature,Div,Mythical Creature/Div/157.png
Animal,Mammal,Animal/Mammal/158.png
Object,Weapons,Object/Weapons/159.png
Terrain,Rocks,Terrain/Rocks/160.png
Animal,Mammal,Animal/Mammal/161.png
Animal,Bird,Animal/Bird/162.png
Terrain,Cloud,Terrain/Cloud/163.png
Plant,Flower,Plant/Flower/164.png
Animal,Bird,Animal/Bird/165.png
Human,Man,Human/Man/166.png
Human,Man,Human/Man/167.png
Human,Man,Human/Man/168.png
Human,Man,Human/Man/169.png
Human,Man,Human/Man/170.png
Mythical Creature,Simorgh,Mythical Creature/Simorgh/171.png
Plant,Tree,Plant/Tree/174.png
Plant,Tree,Plant/Tree/175.png
Animal,Mammal,Animal/Mammal/176.png
Human,Man,Human/Man/177.png
Human,Man,Human/Man/178.png
Human,Man,Human/Man/179.png
Human,Man,Human/Man/180.png
Human,Man,Human/Man/181.png
Object,Fruits,Object/Fruits/182.png
Human,Man,Human/Man/183.png
Plant,Tree,Plant/Tree/184.png
Plant,Tree,Plant/Tree/186.png
Plant,Tree,Plant/Tree/187.png
Animal,Mammal,Animal/Mammal/188.png
Object,Weapons,Object/Weapons/189.png
Plant,Tree,Plant/Tree/190.png
Plant,Tree,Plant/Tree/191.png
Plant,Tree,Plant/Tree/192.png
Animal,Mammal,Animal/Mammal/193.png
Human,Uncategorized,Human/Uncategorized/194.png
Human,Man,Human/Man/195.png
Animal,Mammal,Animal/Mammal/196.png
Human,Man,Human/Man/197.png
Plant,Tree,Plant/Tree/198.png
Human,Man,Human/Man/199.png
Human,Man,Human/Man/200.png
Human,Rider,Human/Rider/201.png
Human,Rider,Human/Rider/203.png
Human,Man,Human/Man/204.png
Human,Man,Human/Man/205.png
Human,Man,Human/Man/206.png
Human,Man,Human/Man/207.png
Human,Man,Human/Man/213.png
Human,Man,Human/Man/214.png
Human,Man,Human/Man/215.png
Animal,Mammal,Animal/Mammal/216.png
Architecture,Uncategorized,Architecture/Uncategorized/217.png
Animal,Mammal,Animal/Mammal/218.png
Human,Man,Human/Man/219.png
Animal,Mammal,Animal/Mammal/220.png
Human,Rider,Human/Rider/221.png
Animal,Mammal,Animal/Mammal/222.png
Plant,Tree,Plant/Tree/223.png
Plant,Tree,Plant/Tree/225.png
Plant,Tree,Plant/Tree/226.png
Plant,Tree,Plant/Tree/227.png
Plant,Tree,Plant/Tree/228.png
Animal,Mammal,Animal/Mammal/229.png
Animal,Bird,Animal/Bird/230.png
Architecture,Uncategorized,Architecture/Uncategorized/231.png
Architecture,Uncategorized,Architecture/Uncategorized/232.png
Architecture,Uncategorized,Architecture/Uncategorized/233.png
Mythical Creature,Simorgh,Mythical Creature/Simorgh/234.png
Human,Man,Human/Man/235.png
Plant,Tree,Plant/Tree/236.png
Plant,Flower,Plant/Flower/237.png
Plant,Tree,Plant/Tree/238.png
Human,Soldier,Human/Soldier/239.png
Plant,Tree,Plant/Tree/240.png
Plant,Tree,Plant/Tree/241.png
Plant,Tree,Plant/Tree/242.png
Mythical Creature,Div,Mythical Creature/Div/243.png
Architecture,Dome/Roof,Architecture/Dome/Roof/244.png
Architecture,Uncategorized,Architecture/Uncategorized/245.png
Architecture,Uncategorized,Architecture/Uncategorized/246.png
Architecture,Uncategorized,Architecture/Uncategorized/247.png
Architecture,Uncategorized,Architecture/Uncategorized/248.png
Architecture,Door/Window,Architecture/Door/Window/249.png
Plant,Flower,Plant/Flower/251.png
Plant,Tree,Plant/Tree/252.png
Plant,Tree,Plant/Tree/253.png
Human,Soldier,Human/Soldier/254.png
Human,Woman,Human/Woman/255.png
Human,Uncategorized,Human/Uncategorized/256.png
Human,Man,Human/Man/257.png
Human,Woman,Human/Woman/258.png
Human,Woman,Human/Woman/259.png
Human,Woman,Human/Woman/260.png
Human,Man,Human/Man/261.png
Human,Man,Human/Man/262.png
Human,Man,Human/Man/263.png
Human,Woman,Human/Woman/264.png
Human,Man,Human/Man/265.png
Human,Woman,Human/Woman/266.png
Human,Woman,Human/Woman/267.png
Human,Man,Human/Man/666.png
